id,title,handle,product_type,vendor,status,created_at,updated_at,published_at,published_scope,_fivetran_synced
1,Radiant Glow Foundation,radiant-glow-foundation,Makeup,Belle & Glow,active,2022-07-19 08:00:00,2024-12-15 14:30:00,2022-07-19 08:00:00,web,2025-07-19 10:00:00
2,Hydrating Face Serum,hydrating-face-serum,Skincare,Belle & Glow,active,2022-07-19 08:00:00,2024-11-20 16:45:00,2022-07-19 08:00:00,web,2025-07-19 10:00:00
3,Velvet Matte Lipstick,velvet-matte-lipstick,Makeup,Belle & Glow,active,2022-07-19 08:00:00,2025-01-10 11:20:00,2022-07-19 08:00:00,web,2025-07-19 10:00:00
4,Anti-Aging Night Cream,anti-aging-night-cream,Skincare,Belle & Glow,active,2022-07-19 08:00:00,2024-10-05 13:15:00,2022-07-19 08:00:00,web,2025-07-19 10:00:00
5,Waterproof Mascara,waterproof-mascara,Makeup,Belle & Glow,active,2022-07-19 08:00:00,2025-02-28 09:30:00,2022-07-19 08:00:00,web,2025-07-19 10:00:00
6,Vitamin C Cleanser,vitamin-c-cleanser,Skincare,Belle & Glow,active,2022-07-19 08:00:00,2024-09-12 15:50:00,2022-07-19 08:00:00,web,2025-07-19 10:00:00
7,Eyeshadow Palette Sunset,eyeshadow-palette-sunset,Makeup,Belle & Glow,active,2022-08-01 10:00:00,2025-03-15 12:40:00,2022-08-01 10:00:00,web,2025-07-19 10:00:00
8,Gentle Exfoliating Scrub,gentle-exfoliating-scrub,Skincare,Belle & Glow,active,2022-08-01 10:00:00,2024-12-08 14:25:00,2022-08-01 10:00:00,web,2025-07-19 10:00:00
9,Contouring Kit,contouring-kit,Makeup,Belle & Glow,active,2022-08-15 12:00:00,2025-01-22 10:15:00,2022-08-15 12:00:00,web,2025-07-19 10:00:00
10,Retinol Night Treatment,retinol-night-treatment,Skincare,Belle & Glow,active,2022-08-15 12:00:00,2024-11-30 16:35:00,2022-08-15 12:00:00,web,2025-07-19 10:00:00
11,Blush Compact Rose,blush-compact-rose,Makeup,Belle & Glow,active,2022-09-01 09:00:00,2025-02-10 13:55:00,2022-09-01 09:00:00,web,2025-07-19 10:00:00
12,Hyaluronic Acid Toner,hyaluronic-acid-toner,Skincare,Belle & Glow,active,2022-09-01 09:00:00,2024-10-18 11:10:00,2022-09-01 09:00:00,web,2025-07-19 10:00:00
13,Liquid Eyeliner Black,liquid-eyeliner-black,Makeup,Belle & Glow,active,2022-09-15 14:00:00,2025-04-03 15:20:00,2022-09-15 14:00:00,web,2025-07-19 10:00:00
